from_node,to_node,edge_key,distance_km,traffic_weight,travel_time_min,highway_type,maxspeed
309592832,6017833815,0,0.205,2.93,0.49,primary,unknown
309592878,309593172,0,0.047,2.83,0.11,tertiary,unknown
309592878,309593074,0,0.05,1.77,0.1,tertiary,unknown
309593030,309593120,0,0.067,3.58,0.17,tertiary,unknown
309593030,309593254,0,0.078,1.86,0.16,tertiary,unknown
309593030,663102272,0,0.048,2.25,0.1,tertiary,unknown
309593063,5389451392,0,0.039,2.33,0.09,tertiary,unknown
309593063,309592832,0,0.048,3.25,0.12,tertiary,unknown
309593063,363189765,0,0.05,1.56,0.1,residential,unknown
309593068,363187401,0,0.027,2.86,0.06,tertiary,unknown
309593068,5389451392,0,0.067,2.21,0.14,tertiary,unknown
309593074,309592878,0,0.05,3.05,0.12,tertiary,unknown
309593074,363190535,0,0.01,2.34,0.02,tertiary,unknown
309593120,309593030,0,0.067,2.38,0.15,tertiary,unknown
309593162,309593163,0,0.136,1.23,0.25,residential,unknown
309593162,309593397,0,0.038,1.87,0.08,residential,unknown
309593162,309593253,0,0.168,1.3,0.32,residential,unknown
309593163,309593162,0,0.136,2.15,0.29,residential,unknown
309593163,309593398,0,0.035,1.67,0.07,residential,unknown
309593163,309593261,0,0.062,1.8,0.13,residential,unknown
309593172,663102272,0,0.158,3.06,0.38,tertiary,unknown
309593172,309592878,0,0.047,1.52,0.09,tertiary,unknown
309593172,309593175,0,0.041,2.87,0.1,residential,unknown
309593175,309593297,0,0.182,1.85,0.37,residential,unknown
309593175,309593172,0,0.041,1.32,0.08,residential,unknown
309593175,309593346,0,0.035,2.11,0.07,residential,unknown
309593180,3379605044,0,0.023,1.19,0.04,residential,unknown
309593180,309593316,0,0.173,1.3,0.33,residential,unknown
309593180,663102272,0,0.041,2.26,0.09,residential,unknown
309593253,309593162,0,0.168,2.44,0.37,residential,unknown
309593253,3399067464,0,0.073,2.19,0.16,residential,unknown
309593254,309593030,0,0.078,3.28,0.19,tertiary,unknown
309593254,309593259,0,0.133,2.59,0.3,tertiary,unknown
309593254,309593401,0,0.038,1.0,0.07,residential,unknown
309593259,309593254,0,0.133,2.44,0.3,tertiary,unknown
309593259,309593414,0,0.045,1.0,0.08,residential,unknown
309593259,1468540687,0,0.046,3.0,0.11,tertiary,unknown
309593261,309593163,0,0.062,1.84,0.13,residential,unknown
309593261,6456088910,0,0.081,2.17,0.17,secondary,unknown
309593264,309593397,0,0.007,1.69,0.01,residential,unknown
309593264,309593399,0,0.027,2.47,0.06,residential,unknown
309593271,309593283,0,0.17,1.22,0.32,residential,unknown
309593283,309593399,0,0.017,1.82,0.03,residential,unknown
309593283,309593401,0,0.017,1.67,0.03,residential,unknown
309593283,309593271,0,0.17,1.96,0.35,residential,unknown
309593297,309593175,0,0.182,1.0,0.33,residential,unknown
309593297,309593348,0,0.036,1.29,0.07,residential,unknown
309593297,11493846395,0,0.039,2.25,0.09,residential,unknown
309593316,3379605045,0,0.026,1.19,0.05,residential,unknown
309593316,309593180,0,0.173,2.02,0.36,residential,unknown
309593316,3740957812,0,0.047,1.38,0.09,residential,unknown
309593333,3379605044,0,0.037,1.23,0.07,residential,unknown
309593333,309593339,0,0.035,1.0,0.06,residential,unknown
309593333,309593337,0,0.174,1.24,0.33,residential,unknown
309593337,3379605045,0,0.03,2.45,0.07,residential,unknown
309593337,309593345,0,0.037,1.21,0.07,residential,unknown
309593337,309593333,0,0.174,1.64,0.35,residential,unknown
309593339,309593333,0,0.035,1.57,0.07,residential,unknown
309593339,309593346,0,0.031,2.11,0.07,residential,unknown
309593339,309593345,0,0.177,1.87,0.36,residential,unknown
309593345,309593337,0,0.037,2.16,0.08,residential,unknown
309593345,309593348,0,0.031,1.15,0.06,residential,unknown
309593345,309593339,0,0.177,1.74,0.36,residential,unknown
